testy,V1
2102,0,0.0811203334115879
27,0,0.220159573828609
1133,0,0.219385219774511
4903,0,0.210060614205435
8465,1,0.195512782573393
5396,0,0.392638230591426
3903,0,0.220159573828609
4098,0,0.309270328934201
2300,0,0.360851192821502
1756,0,0.394505597703469
6633,0,0.0437786326721457
1843,0,-0.00694949313439924
1580,0,0.286087978480219
9995,1,0.380367089570853
201,0,0.220159573828609
4227,0,0.394505597703469
2921,0,0.299746109813367
8257,1,0.374650222917895
9196,1,0.286087978480219
7452,0,0.0137905951170904
5355,0,0.195512782573393
4083,0,0.0437786326721457
4086,0,0.195512782573393
3926,0,0.220159573828609
4475,0,0.0615970225445916
2840,0,0.220159573828609
1696,0,0.395258647061819
1646,0,0.0137905951170904
343,0,0.392197094339559
5723,0,0.345080710218652
9482,1,0.220159573828609
5833,0,0.102152336464243
1161,0,0.290074414983343
919,0,0.220159573828609
7277,0,0.00190378838714506
10179,1,0.220159573828609
8630,1,0.220159573828609
8337,1,0.364890940753888
1876,0,0.339280447013106
1340,0,0.364890940753888
9129,1,0.339280447013106
9546,1,0.366111944536164
4138,0,0.305618865803046
5354,0,0.0137905951170904
4390,0,0.394589827952952
1294,0,0.220159573828609
2047,0,-0.00777395515064699
836,0,0.265034088353712
9181,1,0.286087978480219
3559,0,0.219385219774511
10271,1,0.102152336464243
10474,1,0.220159573828609
10245,1,0.265034088353712
10477,1,0.280243421027264
7775,0,0.195512782573393
8828,1,0.242636387268343
1291,0,0.220159573828609
1541,0,0.0278048071028104
5781,0,0.260381590946814
6276,0,0.388186412645754
3993,0,0.0278048071028104
7707,0,-0.00694949313439924
3950,0,0.0264031587244878
76,0,0.394589827952952
6763,0,0.27035211599957
6391,0,0.220159573828609
5464,0,0.374534433361513
2125,0,0.220159573828609
6688,0,0.00190378838714506
8160,1,0.265034088353712
10283,1,0.260381590946814
299,0,-0.00777395515064699
9789,1,0.305618865803046
2861,0,0.124438092861261
9231,1,0.392638230591426
7884,0,0.388186412645754
6942,0,0.0135307637161917
4250,0,0.124438092861261
7397,0,0.0618854504590857
8770,1,0.394505597703469
9791,1,0.394589827952952
7467,0,0.409114385020493
1435,0,0.0811203334115879
10087,1,0.385412314301758
10181,1,0.345080710218652
7897,0,0.220159573828609
7237,0,0.220159573828609
9392,1,0.220159573828609
8473,1,0.353117814092319
5932,0,0.220159573828609
3431,0,0.220159573828609
3555,0,0.195512782573393
8888,1,0.302709205481201
6779,0,0.220159573828609
10084,1,0.385412314301758
3935,0,0.220159573828609
271,0,0.220159573828609
192,0,0.382378754793292
6632,0,0.242636387268343
9137,1,0.220159573828609
5033,0,0.220159573828609
2072,0,0.345080710218652
5962,0,0.0615970225445916
8589,1,0.290074414983343
7271,0,0.220150469988879
6274,0,0.0137905951170904
4817,0,0.147669151796361
626,0,0.171493647176279
144,0,0.368009276238768
6524,0,0.286087978480219
3821,0,0.00190378838714506
4515,0,0.220159573828609
5660,0,0.0811203334115879
10059,1,0.219385219774511
1952,0,0.0278048071028104
7639,0,0.394505597703469
7357,0,0.0615970225445916
1292,0,0.339280447013106
6191,0,0.0278048071028104
618,0,0.0615970225445916
7530,0,0.230214559785637
3186,0,0.392638230591426
4635,0,0.336556051600404
9352,1,0.392197094339559
10102,1,0.220159573828609
1451,0,-0.00694949313439924
1159,0,0.286087978480219
9416,1,0.394589827952952
7802,0,0.220159573828609
1930,0,0.220159573828609
9368,1,0.389538656191927
7872,0,0.195512782573393
4369,0,0.242636387268343
810,0,0.219385219774511
1322,0,0.220159573828609
3639,0,0.318631527833669
539,0,-0.00694949313439924
3603,0,0.290074414983343
4035,0,0.318631527833669
7702,0,0.382378754793292
6427,0,0.364890940753888
4878,0,0.339280447013106
9696,1,0.220159573828609
8822,1,0.290074414983343
6016,0,0.0137905951170904
7611,0,0.388186412645754
1652,0,0.392197094339559
4177,0,0.177747414906934
4872,0,0.327728325543976
2065,0,-0.00694949313439924
6468,0,0.305618865803046
5827,0,0.0264031587244878
4546,0,0.220159573828609
10189,1,0.230214559785637
1307,0,0.220159573828609
10142,1,0.219385219774511
7367,0,0.220159573828609
4926,0,0.305618865803046
8363,1,0.327728325543976
7087,0,0.0811203334115879
7621,0,0.353117814092319
1884,0,-0.00777395515064699
4992,0,0.353117814092319
9445,1,0.286087978480219
5782,0,0.220159573828609
947,0,0.265034088353712
1485,0,0.171493647176279
6981,0,0.124438092861261
2813,0,0.389538656191927
10381,1,0.389538656191927
974,0,0.336556051600404
8175,1,0.323391591129103
6753,0,0.305618865803046
10449,1,0.388186412645754
3207,0,0.339280447013106
6553,0,0.354989314204766
9870,1,0.380367089570853
1899,0,0.265034088353712
6250,0,0.250367503015094
5045,0,0.389538656191927
7305,0,0.394589827952952
3769,0,-0.00777395515064699
8795,1,0.385412314301758
7595,0,0.220159573828609
3080,0,0.353117814092319
6190,0,0.0264031587244878
1662,0,0.102152336464243
821,0,0.220159573828609
2084,0,0.0811203334115879
4548,0,0.171493647176279
3316,0,0.286087978480219
7120,0,0.305618865803046
10205,1,0.360851192821502
3542,0,0.27035211599957
8110,1,0.389538656191927
8444,1,0.388186412645754
8711,1,0.339280447013106
1757,0,0.0278048071028104
5011,0,0.250367503015094
2539,0,0.220159573828609
8128,1,0.147669151796361
9344,1,0.388186412645754
1061,0,0.220159573828609
6563,0,0.389538656191927
4887,0,0.124438092861261
9896,1,0.360851192821502
6067,0,0.0278048071028104
9842,1,0.220159573828609
5766,0,0.0264031587244878
4304,0,0.318631527833669
2605,0,0.220159573828609
1556,0,0.220159573828609
1810,0,0.305618865803046
5142,0,0.380367089570853
4849,0,0.220159573828609
3095,0,-0.00777395515064699
2855,0,0.368009276238768
1210,0,0.0437786326721457
3310,0,0.147669151796361
3299,0,0.0137905951170904
3246,0,0.220159573828609
7084,0,0.195512782573393
4453,0,0.327728325543976
9914,1,0.250367503015094
8021,1,0.389538656191927
473,0,0.147669151796361
4925,0,0.220159573828609
2986,0,0.0838449342224711
10235,1,0.305618865803046
2635,0,0.0278048071028104
6765,0,0.392197094339559
7230,0,-0.00777395515064699
1811,0,0.242636387268343
9963,1,0.382378754793292
4258,0,0.286087978480219
3907,0,0.389538656191927
9240,1,0.305618865803046
1538,0,0.374650222917895
4131,0,0.220159573828609
2373,0,0.0811203334115879
3668,0,-0.00694949313439924
8079,1,0.339280447013106
2362,0,0.374650222917895
2942,0,0.220159573828609
3991,0,0.0215560707175516
4226,0,0.327728325543976
7044,0,0.339280447013106
78,0,0.147669151796361
8307,1,0.339280447013106
1543,0,0.0437786326721457
3262,0,-0.00694949313439924
1591,0,0.353117814092319
3478,0,0.102152336464243
6640,0,0.290074414983343
7940,0,0.124438092861261
3346,0,0.380367089570853
5968,0,0.242636387268343
3238,0,0.190023095698906
6476,0,0.389538656191927
7362,0,0.336556051600404
2101,0,0.265034088353712
9346,1,0.102152336464243
1737,0,0.195512782573393
2196,0,0.171493647176279
5065,0,0.0615970225445916
7699,0,0.382378754793292
9630,1,0.401317737629673
6541,0,0.0278048071028104
1179,0,0.394505597703469
2531,0,-0.00694949313439924
2721,0,0.195512782573393
1954,0,0.345080710218652
8129,1,0.220159573828609
4744,0,0.220159573828609
1333,0,0.195512782573393
5153,0,0.220159573828609
7868,0,0.27035211599957
5945,0,0.290074414983343
5278,0,0.323391591129103
8412,1,0.220159573828609
5414,0,0.220159573828609
1681,0,0.305618865803046
7948,0,-0.00694949313439924
320,0,0.265034088353712
6126,0,0.147669151796361
2415,0,0.219385219774511
6752,0,0.147669151796361
6960,0,0.220159573828609
6466,0,0.147669151796361
8515,1,0.265034088353712
3468,0,0.00190378838714506
4403,0,0.339280447013106
7910,0,0.102152336464243
9089,1,0.309270328934201
3229,0,0.220159573828609
4276,0,0.286087978480219
2156,0,0.147669151796361
1070,0,0.392638230591426
7997,0,0.0264031587244878
